100	200
41	2	10
195	9	7
191	7	5
174	14	1
198	13	2
108	14	7
6	2	5
196	13	6
123	10	1
24	8	6
183	1	8
156	10	11
93	13	12
153	13	10
68	14	7
79	4	2
38	7	3
33	11	1
134	10	9
141	3	10
163	1	7
87	10	9
101	11	2
51	10	12
116	14	14
166	7	11
132	13	8
100	12	2
88	4	7
194	4	14
84	14	2
90	13	6
11	9	4
114	2	12
171	6	13
112	3	9
187	11	2
158	12	9
186	14	8
12	4	14
192	11	2
35	1	12
64	8	14
62	2	4
180	11	12
182	12	12
14	4	14
151	5	8
165	8	13
170	10	13
148	5	12
143	12	5
137	1	7
99	13	6
133	2	1
78	13	2
189	12	11
173	7	9
74	11	13
188	9	7
197	10	9
56	1	13
19	7	5
2	14	12
127	8	9
37	12	4
162	13	14
172	13	9
58	2	8
146	12	11
118	11	12
75	3	10
42	3	2
135	14	9
76	7	8
185	1	8
102	5	8
9	9	14
45	7	8
25	1	14
54	10	14
136	2	13
29	9	6
125	11	5
176	7	3
77	6	7
168	12	11
18	7	7
115	5	2
66	5	7
59	12	3
63	8	13
46	1	7
117	1	3
190	3	9
5	7	6
44	14	14
113	11	13
157	12	2
161	11	9
34	5	13
69	10	11
111	14	13
28	4	9
43	1	3
169	10	11
104	11	10
107	7	4
22	13	11
73	11	5
150	7	13
53	1	14
92	13	1
36	8	14
60	3	1
23	9	9
8	3	3
126	12	1
89	14	10
98	14	13
120	10	10
139	3	8
154	9	10
110	8	2
21	10	7
52	3	10
145	1	4
30	13	13
149	11	1
80	13	6
138	2	2
3	4	14
7	12	10
72	4	5
131	6	7
178	8	13
81	1	2
95	2	2
27	12	6
119	5	9
4	4	11
175	10	4
15	2	8
193	5	5
184	10	6
49	1	13
147	4	3
181	4	13
122	2	5
121	2	5
67	11	8
26	5	2
124	6	8
48	5	8
155	1	10
160	8	9
94	12	4
200	1	11
97	4	7
71	9	5
16	13	12
109	6	7
1	8	14
10	3	11
86	7	7
140	12	10
164	12	13
85	14	2
152	13	8
55	3	3
47	4	10
144	6	5
199	12	1
20	6	14
31	13	10
106	8	13
82	6	6
50	2	14
167	14	3
179	2	2
39	1	11
40	10	4
142	12	8
128	13	1
65	12	5
32	7	7
17	2	13
103	9	7
13	6	2
57	3	9
129	12	5
61	14	8
159	9	2
177	6	3
105	7	13
83	6	6
130	5	7
96	2	11
91	6	8
70	8	5
41	2	145	14
195	11	165	1
191	1	38	3
174	9	4	11
198	1	125	14
108	1	145	11
6	7	74	3
196	1	62	14
123	12	70	9
24	2	159	8
183	7	9	3
156	14	168	6
93	8	158	10
153	7	74	8
68	8	1	2
79	6	25	8
38	9	54	2
33	14	12	3
134	3	29	13
141	10	110	10
163	11	182	7
87	8	133	10
101	1	174	4
51	3	58	12
116	4	118	4
166	4	115	9
132	2	55	10
100	5	101	7
88	2	65	2
194	1	34	8
84	14	120	10
90	7	16	2
11	7	156	11
114	3	95	14
171	10	128	9
112	2	166	6
187	7	156	14
158	2	89	10
186	6	87	14
12	1	185	10
192	1	105	2
35	12	78	7
64	12	68	7
62	9	149	1
180	1	126	4
182	14	175	6
14	5	54	2
151	3	132	13
165	3	150	11
170	12	141	7
148	4	21	8
143	8	130	13
137	14	8	14
99	7	59	3
133	12	134	5
78	13	4	10
189	11	188	11
173	11	171	1
74	8	34	5
188	1	154	11
197	1	6	4
56	11	144	10
19	8	182	14
2	7	71	13
127	4	139	5
37	7	5	4
162	14	171	13
172	4	188	9
58	14	105	3
146	13	77	7
118	4	87	13
75	4	37	4
42	13	181	1
135	9	181	5
76	4	174	5
185	5	163	10
102	1	52	2
9	9	52	7
45	7	187	10
25	12	114	8
54	2	18	13
136	12	181	4
29	1	194	7
125	3	77	7
176	3	101	6
77	13	13	9
168	5	63	2
18	12	170	13
115	9	160	5
66	4	2	3
59	14	121	5
63	5	62	12
46	13	62	12
117	14	111	2
190	8	198	4
5	13	43	7
44	2	26	6
113	7	55	14
157	3	37	4
161	5	121	8
34	6	163	7
69	5	91	10
111	13	168	2
28	2	177	9
43	8	18	9
169	13	24	6
104	1	58	12
107	7	95	11
22	13	44	10
73	4	162	11
150	9	49	6
53	9	167	12
92	11	185	12
36	9	183	14
60	6	136	10
23	8	72	11
8	5	15	9
126	13	158	1
89	1	29	14
98	1	141	3
120	2	180	14
139	7	30	8
154	12	89	8
110	4	60	5
21	4	132	4
52	12	95	4
145	2	114	14
30	13	154	8
149	6	111	9
80	6	46	4
138	6	23	8
3	7	57	14
7	10	179	4
72	6	190	3
131	12	127	14
178	9	138	13
81	6	100	9
95	13	177	10
27	10	34	8
119	1	42	5
4	11	114	14
175	13	71	2
15	14	153	3
193	3	69	2
184	14	199	4
49	7	13	2
147	13	135	1
181	2	77	13
122	1	175	6
121	14	2	8
67	7	117	13
26	1	13	10
124	10	111	13
48	13	169	6
155	1	126	13
160	2	47	7
94	12	83	3
200	3	173	9
97	5	110	2
71	8	82	7
16	7	40	2
109	8	37	13
1	2	116	4
10	1	116	10
86	14	184	2
140	13	183	7
164	2	56	14
85	11	87	10
152	14	68	13
55	5	146	14
47	10	176	6
144	5	33	10
199	7	175	9
20	8	151	12
31	14	164	13
106	5	150	1
82	7	5	4
50	2	193	8
167	7	94	1
179	10	65	5
39	8	154	8
40	13	42	12
142	11	8	10
128	11	127	6
65	5	102	3
32	7	81	1
17	7	53	13
103	5	139	9
13	14	22	8
57	6	35	5
129	2	128	11
61	2	69	3
159	6	53	11
177	4	105	1
105	1	168	1
83	4	172	1
130	9	44	5
96	14	104	10
91	11	57	2
70	6	12	4
41	9	11
195	14	3
191	12	14
174	4	12
198	8	2
108	1	9
6	8	3
196	4	10
123	12	7
24	14	2
183	4	4
156	12	6
93	11	7
153	1	11
68	11	5
79	11	4
38	11	5
33	10	6
134	3	9
141	3	7
163	9	6
87	7	3
101	13	3
51	11	7
116	12	2
166	14	12
132	13	5
100	1	11
88	5	4
194	13	2
84	6	3
90	10	13
11	7	3
114	1	6
171	14	5
112	13	8
187	7	5
158	6	12
186	5	13
12	12	9
192	4	6
35	9	11
64	2	6
62	7	8
180	14	11
182	2	6
14	3	2
151	9	11
165	6	7
170	5	5
148	11	5
143	14	9
137	2	1
99	14	13
133	2	10
78	4	13
189	9	12
173	8	5
74	1	13
188	1	6
197	5	7
56	6	10
19	11	8
2	12	2
127	6	7
37	5	9
162	4	10
172	2	4
58	1	11
146	13	5
118	10	3
75	1	9
42	3	12
135	2	6
76	4	4
185	8	8
102	14	12
9	7	2
45	7	1
25	6	3
54	8	9
136	3	12
29	4	7
125	2	6
176	8	13
77	10	6
168	10	12
18	8	11
115	8	11
66	5	6
59	13	1
63	9	9
46	3	8
117	4	9
190	7	8
5	9	5
