100	500
470	8	7
195	9	2
260	9	2
191	5	3
214	7	5
174	5	1
198	4	7
486	3	10
208	10	8
090	2	4
108	3	10
287	10	8
278	9	5
196	9	10
461	10	9
123	3	5
286	5	3
088	8	3
466	9	3
328	8	5
183	6	10
156	8	10
026	6	1
276	1	8
301	3	9
153	8	5
098	3	9
326	9	10
357	5	7
418	10	2
378	7	1
268	4	9
316	2	9
380	4	3
399	1	3
020	7	5
498	8	4
072	2	1
265	4	8
445	2	1
063	6	1
245	7	7
205	9	3
409	1	9
134	1	7
253	3	8
288	2	1
141	2	1
413	4	7
457	7	1
163	5	6
396	10	4
401	8	6
447	6	5
254	1	6
101	7	3
022	3	5
308	9	2
494	2	10
347	6	5
003	2	5
007	6	3
008	10	7
064	3	9
439	1	8
045	1	8
116	5	2
259	2	4
488	5	10
166	4	9
132	9	7
377	6	5
100	3	8
266	7	9
373	1	9
487	7	10
194	7	4
294	5	5
475	8	4
114	4	10
426	8	9
279	7	5
011	2	3
460	7	3
446	10	2
171	1	2
438	1	7
112	4	7
312	9	9
433	3	5
187	5	9
032	7	6
158	7	9
400	2	6
263	7	6
340	8	1
226	9	10
313	9	1
076	7	5
383	6	7
083	1	2
203	9	5
186	5	8
331	2	4
474	4	6
318	9	10
217	2	9
056	2	9
093	3	5
192	4	10
305	9	8
335	5	5
094	6	3
180	8	9
051	6	10
182	8	9
458	5	2
075	2	5
248	2	10
215	3	6
211	10	1
151	9	1
165	6	3
170	6	10
449	3	10
478	4	3
303	2	4
148	4	9
261	1	10
143	7	6
368	8	2
137	9	9
040	4	5
386	10	10
361	8	1
499	7	4
269	10	4
133	1	6
068	1	7
244	1	8
480	5	4
385	3	9
043	2	2
189	2	4
241	4	1
330	5	8
173	7	6
273	8	1
052	6	3
188	6	3
197	4	2
219	6	5
479	5	5
496	4	3
038	2	4
414	9	10
237	6	2
009	7	7
317	5	3
422	4	10
274	4	9
202	1	3
078	7	7
034	9	10
403	7	6
127	4	1
047	6	7
375	8	6
162	10	7
172	9	1
407	2	7
073	5	8
005	4	4
146	8	2
468	4	7
118	9	7
455	3	8
394	1	9
408	6	1
270	7	1
336	7	3
411	4	5
495	6	8
135	9	7
272	8	4
185	6	9
258	8	8
102	8	2
227	3	5
443	3	3
013	9	9
307	6	2
456	6	4
071	8	8
223	8	5
371	1	10
016	2	3
021	1	5
001	7	7
014	10	6
329	3	5
031	7	3
350	2	8
099	3	5
483	10	3
006	7	10
035	7	4
290	1	1
406	4	3
349	1	4
324	3	1
381	3	10
315	10	4
267	2	10
283	8	3
354	1	7
136	4	10
355	10	10
338	8	1
125	1	8
176	5	4
423	2	7
485	8	3
358	10	3
464	6	2
271	7	9
493	6	8
168	7	3
462	6	1
206	5	2
115	8	9
441	1	6
395	10	4
067	9	6
421	1	1
432	4	2
415	5	2
238	3	4
065	4	3
392	5	7
424	6	4
117	5	4
323	6	3
398	10	9
467	5	7
417	6	3
291	9	4
190	7	8
037	10	9
060	2	5
360	2	3
029	7	4
341	5	10
429	1	7
113	1	9
042	1	7
157	4	4
161	9	2
387	3	8
081	8	6
364	2	3
225	1	9
111	8	10
221	3	8
370	1	3
169	1	6
027	4	6
410	9	10
213	9	7
104	4	10
091	7	6
107	9	8
085	2	1
084	9	4
229	3	8
095	2	10
018	8	9
404	3	8
243	7	4
298	2	3
450	7	4
405	9	2
491	2	4
376	8	1
448	4	2
255	4	1
096	2	6
150	8	5
388	8	5
296	10	10
252	10	6
351	6	6
469	2	4
017	4	5
126	9	6
306	3	10
120	10	9
024	7	1
139	9	3
053	6	8
154	6	6
207	7	8
242	2	2
110	7	9
440	8	2
497	5	3
002	3	5
490	6	2
023	7	7
201	10	1
057	3	8
236	5	7
216	7	4
044	3	4
019	2	2
434	7	5
247	9	6
332	9	1
435	2	3
427	5	8
389	10	6
145	3	1
004	4	10
309	10	6
444	7	2
055	10	5
302	7	3
431	7	4
059	6	10
149	2	9
353	10	5
138	5	9
314	9	10
304	3	9
046	5	9
356	1	2
015	7	7
382	9	7
397	5	7
342	7	10
437	1	4
228	8	10
050	4	9
334	10	2
425	10	7
412	8	1
054	1	2
339	9	9
297	1	2
036	10	2
477	2	1
500	3	10
277	5	1
369	9	2
131	9	6
178	6	7
420	9	5
452	10	9
234	7	10
436	4	4
299	2	9
472	5	5
345	10	3
300	9	4
292	1	4
119	5	6
039	4	3
327	9	7
280	7	2
348	8	2
275	5	7
224	4	5
293	1	2
080	5	7
175	6	4
321	3	5
058	4	4
230	4	10
284	6	6
048	10	10
256	3	5
222	7	5
492	3	10
204	3	10
049	2	6
077	3	8
193	2	1
061	9	8
459	10	10
184	6	5
333	8	3
069	7	7
365	4	4
320	8	3
289	3	6
264	3	8
147	10	3
181	2	10
390	3	9
122	7	1
070	7	7
121	4	1
282	10	10
419	10	9
246	10	10
367	4	4
124	1	9
086	4	4
155	2	1
311	7	2
010	7	8
295	5	6
160	10	9
082	1	9
489	10	4
200	2	3
363	3	2
209	3	3
087	4	4
322	8	5
366	8	10
476	1	2
393	2	10
109	6	5
463	1	7
430	5	7
310	6	5
428	7	8
231	7	2
066	6	2
454	9	10
140	8	4
482	8	7
359	8	3
379	2	4
220	6	10
164	8	10
041	2	9
079	1	9
062	1	10
212	3	6
089	2	5
152	8	3
319	2	7
384	4	2
144	10	7
285	7	7
337	6	4
199	1	9
391	5	1
074	2	5
106	6	8
374	6	3
257	6	1
249	10	1
352	7	2
281	1	9
262	4	8
167	7	6
179	7	8
218	10	6
210	4	6
484	4	3
142	2	1
251	1	8
128	5	3
092	7	2
028	3	3
402	5	5
473	9	8
025	4	9
240	3	4
362	3	5
103	5	6
451	9	9
239	1	5
346	2	4
325	9	6
343	8	10
129	5	6
250	7	7
465	1	10
233	4	10
416	7	8
453	5	8
159	4	10
232	6	3
481	3	10
097	4	2
177	9	1
105	4	8
471	3	5
033	8	9
030	9	5
235	6	4
372	10	5
130	5	8
012	8	1
344	7	4
442	9	7
470	4	270	8
195	1	254	5
260	9	181	4
191	9	019	10
214	7	288	5
174	5	107	5
198	10	403	4
486	2	017	5
208	2	467	9
090	6	060	2
108	10	493	3
287	1	104	2
278	7	325	5
196	4	468	8
461	8	488	1
123	5	458	2
286	1	472	6
088	7	241	3
466	5	219	1
328	8	344	7
183	6	361	5
156	3	414	10
026	5	068	7
276	7	477	1
301	8	165	9
