100	500
470	3	2
195	2	3
260	1	3
191	1	4
214	4	2
174	4	3
198	1	4
486	4	3
208	1	1
090	2	4
108	2	1
287	3	3
278	2	3
196	2	1
461	2	2
123	2	2
286	4	1
088	2	4
466	1	2
328	2	1
183	3	2
156	1	3
026	2	3
276	2	1
301	4	2
153	4	2
098	1	2
326	4	1
357	3	1
418	3	2
378	2	3
268	2	2
316	2	4
380	1	2
399	2	3
020	2	1
498	3	1
072	2	4
265	2	1
445	3	4
063	4	2
245	4	1
205	1	2
409	4	3
134	1	3
253	4	1
288	3	2
141	4	4
413	3	3
457	3	3
163	2	2
396	4	2
401	3	4
447	4	2
254	1	2
101	4	3
022	4	1
308	1	3
494	3	1
347	1	1
003	2	3
007	1	2
008	1	1
064	4	2
439	1	1
045	4	2
116	2	4
259	3	3
488	3	1
166	1	3
132	4	2
377	4	4
100	3	1
266	2	4
373	4	2
487	3	1
194	3	3
294	1	4
475	4	4
114	2	4
426	2	3
279	3	3
011	1	1
460	2	1
446	2	2
171	3	2
438	2	3
112	3	2
312	1	1
433	1	2
187	4	4
032	2	3
158	2	3
400	4	1
263	2	3
340	1	3
226	3	2
313	1	1
076	4	4
383	2	4
083	4	1
203	2	3
186	3	2
331	1	4
474	4	2
318	3	4
217	4	4
056	4	2
093	4	3
192	2	2
305	3	4
335	1	4
094	1	1
180	2	2
051	2	1
182	2	4
458	1	2
075	4	4
248	3	1
215	3	4
211	4	1
151	2	2
165	4	3
170	3	2
449	2	4
478	1	2
303	1	3
148	3	2
261	2	3
143	3	1
368	2	3
137	1	4
040	1	3
386	1	3
361	2	1
499	1	2
269	4	3
133	1	2
068	3	3
244	1	1
480	1	1
385	1	4
043	3	4
189	4	1
241	2	1
330	2	3
173	2	4
273	2	1
052	2	3
188	2	1
197	1	2
219	3	1
479	2	4
496	2	1
038	2	2
414	3	4
237	4	1
009	2	4
317	4	1
422	2	1
274	2	2
202	3	2
078	2	1
034	1	1
403	2	4
127	2	3
047	2	3
375	3	3
162	4	1
172	3	2
407	4	1
073	1	2
005	2	4
146	4	2
468	4	2
118	1	3
455	1	2
394	4	1
408	4	4
270	1	4
336	3	2
411	1	1
495	3	3
135	2	2
272	2	1
185	3	2
258	3	1
102	4	3
227	2	3
443	4	1
013	2	3
307	4	2
456	4	3
071	2	4
223	1	1
371	4	3
016	1	2
021	4	4
001	2	3
014	4	2
329	2	1
031	4	2
350	3	2
099	2	1
483	1	1
006	4	2
035	3	2
290	2	2
406	3	1
349	3	3
324	4	4
381	2	4
315	1	3
267	3	3
283	4	1
354	1	2
136	1	2
355	3	3
338	4	2
125	1	3
176	3	3
423	4	4
485	3	1
358	3	1
464	2	4
271	1	4
493	1	4
168	3	1
462	4	3
206	4	3
115	4	1
441	1	2
395	2	3
067	1	2
421	4	3
432	1	3
415	1	1
238	2	3
065	2	3
392	1	1
424	1	3
117	4	1
323	3	1
398	1	3
467	1	1
417	1	2
291	3	1
190	3	4
037	2	2
060	4	1
360	1	1
029	3	3
341	1	2
429	2	1
113	1	2
042	2	4
157	2	2
161	2	1
387	4	1
081	4	3
364	1	1
225	1	4
111	1	2
221	4	2
370	4	1
169	2	2
027	3	1
410	4	1
213	4	2
104	2	1
091	2	1
107	3	2
085	2	3
084	1	1
229	4	2
095	2	3
018	1	3
404	2	4
243	2	2
298	2	1
450	2	1
405	3	2
491	2	3
376	1	1
448	1	1
255	4	3
096	3	4
150	1	2
388	4	2
296	1	2
252	2	1
351	4	1
469	3	4
017	1	1
126	4	4
306	1	1
120	2	3
024	3	4
139	2	2
053	3	4
154	1	3
207	2	4
242	1	1
110	2	4
440	2	3
497	4	3
002	3	1
490	2	3
023	1	4
201	3	4
057	2	4
236	2	4
216	1	4
044	2	2
019	1	4
434	3	4
247	4	4
332	1	2
435	1	3
427	1	2
389	4	4
145	3	4
004	4	1
309	4	2
444	3	2
055	4	3
302	2	4
431	4	1
059	1	4
149	4	4
353	4	3
138	4	1
314	4	3
304	2	4
046	1	1
356	1	2
015	3	4
382	4	2
397	2	4
342	4	1
437	3	4
228	4	3
050	1	1
334	4	4
425	3	1
412	3	2
054	1	3
339	2	2
297	1	2
036	2	2
477	2	2
500	1	3
277	1	4
369	3	1
131	4	1
178	4	3
420	2	3
452	1	4
234	4	2
436	4	4
299	3	3
472	4	3
345	3	2
300	1	1
292	2	1
119	1	1
039	1	1
327	2	3
280	2	2
348	1	3
275	1	2
224	2	2
293	2	1
080	3	1
175	3	1
321	1	3
058	1	3
230	3	3
284	3	4
048	1	4
256	4	2
222	3	3
492	2	3
204	1	4
049	3	3
077	4	2
193	3	1
061	3	2
459	4	1
184	3	4
333	4	1
069	3	3
365	4	2
320	2	1
289	2	1
264	1	2
147	4	4
181	4	2
390	3	1
122	3	1
070	2	1
121	1	3
282	1	3
419	3	3
246	4	1
367	1	2
124	2	3
086	3	4
155	2	1
311	2	4
010	3	4
295	4	3
160	4	3
082	2	1
489	3	4
200	3	3
363	3	4
209	1	4
087	1	4
322	2	4
366	2	1
476	2	1
393	1	1
109	4	3
463	3	2
430	2	2
310	2	4
428	2	2
231	3	2
066	4	1
454	2	1
140	4	4
482	4	4
359	1	1
379	3	2
220	2	3
164	4	3
041	4	2
079	3	4
062	4	2
212	2	1
089	4	2
152	3	3
319	2	2
384	1	1
144	2	1
285	4	3
337	2	3
199	3	3
391	3	1
074	1	1
106	1	4
374	1	4
257	2	4
249	4	4
352	1	1
281	4	3
262	4	1
167	4	1
179	1	3
218	3	1
210	3	2
484	3	3
142	2	2
251	4	1
128	1	4
092	2	1
028	4	4
402	4	3
473	2	1
025	3	1
240	1	4
362	4	1
103	1	3
451	2	3
239	2	2
346	1	4
325	3	1
343	3	4
129	3	4
250	4	1
465	4	4
233	3	1
416	1	4
453	2	3
159	1	4
232	3	1
481	1	2
097	1	1
177	1	2
105	1	2
471	4	2
033	1	2
030	2	4
235	1	2
372	1	4
130	2	3
012	1	1
344	3	4
442	2	2
470	2	103	4
195	1	447	4
260	1	219	1
191	3	309	2
