100	162
AndreBucher	3	3
AlfonsoCuaron	2	1
AbdelAzizAl-Hakim	2	3
AlfredSant	2	2
AnibalIbarra	1	3
AndresPastrana	1	1
AJCook	2	1
AlvaroNoboa	2	2
AndyGarcia	1	2
AndyRooney	3	2
AdisaiBodharamik	2	2
AmberFrey	3	3
AdamScott	3	1
AndyGriffith	1	1
AdrianAnnus	1	3
AndyDick	1	2
AlbertoRuizGallardon	2	2
AlexaVega	3	2
AliKhamenei	2	2
AlexanderDowner	4	3
AhmedAhmed	2	2
AlexCejka	3	3
AndrewBernard	3	1
AmyRedford	2	2
AbdulazizKamilov	1	1
AlbertoAcosta	1	1
AliFallahian	2	2
AleksanderKwasniewski	1	3
AlannaUbach	2	1
AngelinaJolie	1	2
AaronGuiel	1	1
AllySheedy	2	2
AlexSink	1	3
AdrianFernandez	2	1
AlfonsoPortillo	1	1
AlecosMarkides	2	1
AdelAl-Jubeir	3	2
AlfredoMoreno	2	3
AkmalTaher	2	1
AkikoMorigami	3	3
AbelPacheco	1	1
AnjumHussain	1	1
AlainDucasse	2	2
AlisonLohman	3	2
AliMohammedMaher	1	2
AllisonJanney	3	3
AllysonFelix	3	3
AdrienBrody	1	3
AbbasKiarostami	3	3
AlejandroToledo	3	2
AngelaMerkel	1	1
AndrewLuster	1	2
AbdoulayeWade	2	1
AdamAnt	2	2
AkbarHashemiRafsanjani	3	2
AliciaKeys	1	2
AlDavis	3	2
AishwaryaRai	1	1
AmyBrenneman	1	2
AndreaBocelli	1	1
AliciaSilverstone	3	1
AndrewWetzler	1	1
AnitaDeFrantz	1	2
AngelaBassett	1	2
AmandaPlumer	2	2
AmandaBeard	2	4
AlexPenelas	2	2
AlessandraCerna	2	1
AlbertoGonzales	3	3
AdrianaPerezNavarro	3	1
AhmedQureia	1	2
AlanDershowitz	1	3
AliciaWitt	1	1
AndreAgassi	2	1
AndrewFirestone	2	2
AlexKing	2	2
AndyLau	2	3
AaronTippin	4	2
AbdulMajeedShobokshi	2	1
AlbertBrooks	2	2
AlPacino	2	2
AngelLockward	3	2
AlexZanardi	2	2
AliAbbas	3	3
AlexandraPelosi	1	1
AlvaroSilvaCalderon	4	2
AngelaMascia-Frye	2	1
AlexCabrera	3	1
Abdullah	2	2
AdrianNastase	3	2
AlexisDennisoff	3	3
AndyWarhol	1	2
AlastairCampbell	3	1
AndrewFastow	2	1
AlysonHannigan	2	2
AdoorGopalakarishnan	1	1
AgbaniDarego	2	4
AkbarAlBaker	3	1
AmramMitzna	3	2
AaronEckhart	1	1
AdamSandler	2	2
AngieArzola	1	2
AidanQuinn	2	3
AndresDAlessandro	1	2
AhmadMasood	2	3
AlecBaldwin	1	1
AlvaroUribe	2	2
AhmetNecdetSezer	3	1
AlyWagner	1	3
AkhmedZakayev	1	1
AaronSorkin	1	1
AlfredodiStefano	3	1
AndyBenes	1	1
AldoParedes	3	1
AlbertoFujimori	3	2
AbbaEban	1	2
AlanBall	1	4
AbdullahGul	1	1
AdriannaZuzic	3	2
AlimzhanTokhtakhounov	3	3
AlejandroGonzalezInarritu	3	2
AlGore	1	1
AlSharpton	2	1
AbrahamFoxman	1	1
AmandaMarsh	1	2
AngelaLansbury	2	3
AmberTamblyn	2	2
AlanisMorissette	1	1
AlexFerguson	2	2
AlexisBledel	2	3
AdrianaLima	1	3
AlmaPowell	1	2
AbdulRahman	3	1
AlexandreHerchcovitch	3	1
AbidHamidMahmudAl-Tikriti	2	2
AndersEbbeson	2	2
AlexandreDaigle	2	2
AndrewCuomo	2	2
AndreaYates	1	2
AlekWek	3	2
AmySmart	1	1
AlLeiter	2	1
AbdullatifSener	1	1
AhmedChalabi	1	2
AndreasVinciguerra	1	1
AlexanderLukashenko	1	1
AndresManuelLopezObrador	2	2
AmyYasbeck	1	4
AngeloReyes	2	3
AmelieMauresmo	1	1
AgnesBruckner	2	1
AndreaDeCruz	2	2
AndyRoddick	2	4
AngieMartinez	3	2
AmrMoussa	2	3
AlexanderPayne	2	1
AlexandreDespatie	1	2
AlexHolmes	1	2
AmandaBynes	2	1
AmeliaVega	3	3
AlessandroNesta	1	3
AbdullahAhmadBadawi	3	3
AndreBucher	1	AlecosMarkides	3
AlfonsoCuaron	3	AmelieMauresmo	1
AbdelAzizAl-Hakim	1	AliciaKeys	2
AlfredSant	2	AlejandroToledo	2
AnibalIbarra	2	AlastairCampbell	2
AndresPastrana	1	AnjumHussain	2
AJCook	2	AdrianNastase	3
AlvaroNoboa	2	AliciaSilverstone	3
AndyGarcia	1	AlLeiter	2
AndyRooney	1	AgbaniDarego	2
AdisaiBodharamik	1	Abdullah	2
AmberFrey	1	AJCook	2
AdamScott	2	AldoParedes	1
AndyGriffith	1	AngelaBassett	2
AdrianAnnus	2	AndreaDeCruz	1
AndyDick	1	AlexandreHerchcovitch	3
AlbertoRuizGallardon	1	AbrahamFoxman	2
AlexaVega	3	AndreBucher	2
AliKhamenei	2	AndreaDeCruz	1
AlexanderDowner	3	AaronEckhart	3
AhmedAhmed	3	AmeliaVega	4
AlexCejka	1	AdrianaLima	3
AndrewBernard	5	AnjumHussain	1
AmyRedford	1	AlexisDennisoff	3
AbdulazizKamilov	2	AmandaBynes	1
AlbertoAcosta	2	AbbasKiarostami	2
AliFallahian	2	AdriannaZuzic	3
AleksanderKwasniewski	2	AbbasKiarostami	1
AlannaUbach	1	AlexanderLukashenko	2
AngelinaJolie	1	AndrewFirestone	2
AaronGuiel	1	AlastairCampbell	2
AllySheedy	1	AdrianFernandez	3
AlexSink	2	AlanDershowitz	3
AdrianFernandez	3	AbdulRahman	1
AlfonsoPortillo	2	AgbaniDarego	3
AlecosMarkides	1	AndrewFastow	2
AdelAl-Jubeir	1	AlexHolmes	1
AlfredoMoreno	3	AngeloReyes	4
AkmalTaher	2	AlexHolmes	1
AkikoMorigami	2	AaronTippin	2
AbelPacheco	3	AaronTippin	4
AnjumHussain	1	AngeloReyes	2
AlainDucasse	2	AdrienBrody	1
AlisonLohman	2	AlyWagner	2
AliMohammedMaher	2	AmrMoussa	2
AllisonJanney	1	AlfonsoPortillo	2
AllysonFelix	2	AgbaniDarego	3
AdrienBrody	1	AmelieMauresmo	1
AbbasKiarostami	3	AdrianaLima	3
AlejandroToledo	2	AkikoMorigami	2
AngelaMerkel	1	AlvaroNoboa	1
AndrewLuster	3	AngelaMascia-Frye	2
AbdoulayeWade	1	AliKhamenei	2
AdamAnt	2	AaronTippin	3
AkbarHashemiRafsanjani	2	AndrewFirestone	1
AliciaKeys	1	AndyDick	2
AlDavis	1	AndyRooney	3
AishwaryaRai	1	AbdoulayeWade	3
AmyBrenneman	3	AndresPastrana	3
AndreaBocelli	2	AndyRoddick	1
AliciaSilverstone	1	AlanBall	1
AndrewWetzler	1	AdrianFernandez	2
AnitaDeFrantz	1	AlanisMorissette	2
AngelaBassett	3	AlyWagner	3
AmandaPlumer	1	AlysonHannigan	1
AmandaBeard	2	AmySmart	2
AlexPenelas	1	AmandaBeard	5
AlessandraCerna	1	AlexCejka	3
AlbertoGonzales	2	AlexZanardi	2
AdrianaPerezNavarro	3	AlexFerguson	2
AhmedQureia	2	AndyLau	3
AlanDershowitz	2	AndyGarcia	1
AliciaWitt	2	AbdullatifSener	3
AndreAgassi	1	AllisonJanney	2
AndrewFirestone	2	AllySheedy	1
AlexKing	1	AlanDershowitz	1
AndyLau	2	AnitaDeFrantz	2
AaronTippin	3	AlmaPowell	3
AbdulMajeedShobokshi	2	AgnesBruckner	1
AlbertBrooks	1	AhmedQureia	3
AlPacino	3	AmelieMauresmo	2
AngelLockward	2	AllysonFelix	2
AlexZanardi	1	AlexaVega	3
AliAbbas	3	AdriannaZuzic	2
AlexandraPelosi	1	AlessandroNesta	2
AlvaroSilvaCalderon	2	AngelaBassett	2
AngelaMascia-Frye	1	AlfonsoPortillo	2
AlexCabrera	1	AngeloReyes	1
Abdullah	3	AlLeiter	2
AdrianNastase	3	AlecosMarkides	2
AlexisDennisoff	1	AlexCejka	2
AndyWarhol	1	AlvaroSilvaCalderon	1
AlastairCampbell	1	AgbaniDarego	2
AndrewFastow	1	AaronTippin	4
AlysonHannigan	1	AngelaBassett	1
AdoorGopalakarishnan	3	AllySheedy	2
AgbaniDarego	1	AndyBenes	2
AkbarAlBaker	1	AdrianFernandez	1
AmramMitzna	1	AndyRoddick	1
AaronEckhart	4	AdamAnt	2
AdamSandler	1	Abdullah	2
AngieArzola	2	AldoParedes	1
AidanQuinn	1	AbdullatifSener	2
AndresDAlessandro	1	AlanisMorissette	2
AhmadMasood	2	AkikoMorigami	1
AlecBaldwin	1	AlbertoAcosta	2
AlvaroUribe	1	AlbertoAcosta	3
AhmetNecdetSezer	2	AlexPenelas	3
AlyWagner	1	AhmadMasood	3
AkhmedZakayev	1	AlfredoMoreno	2
AaronSorkin	3	AlimzhanTokhtakhounov	1
AlfredodiStefano	3	AgnesBruckner	3
AndyBenes	1	AlexZanardi	1
AldoParedes	2	AndrewBernard	4
AlbertoFujimori	3	AbdullahGul	3
AbbaEban	3	AliKhamenei	1
AlanBall	3	AndreaBocelli	1
AbdullahGul	1	AlanDershowitz	1
AdriannaZuzic	3	AlbertoGonzales	2
AlimzhanTokhtakhounov	2	AidanQuinn	2
AlejandroGonzalezInarritu	2	AdrianFernandez	1
AlGore	1	AdamAnt	3
AlSharpton	2	AngieMartinez	1
AbrahamFoxman	3	AbdullahGul	2
AmandaMarsh	3	AlvaroUribe	1
AngelaLansbury	1	AndersEbbeson	2
AmberTamblyn	1	AmyBrenneman	2
AlanisMorissette	3	AhmedChalabi	1
AlexFerguson	2	AishwaryaRai	2
AlexisBledel	1	AlastairCampbell	3
AdrianaLima	1	AlimzhanTokhtakhounov	3
AlmaPowell	3	AndrewBernard	4
AbdulRahman	1	AlexandreDespatie	2
AlexandreHerchcovitch	3	AlvaroNoboa	1
AbidHamidMahmudAl-Tikriti	3	AnibalIbarra	3
AndersEbbeson	1	AndyDick	1
AlexandreDaigle	1	AaronEckhart	1
AndrewCuomo	2	AlysonHannigan	1
AndreaYates	1	AaronGuiel	1
AlekWek	1	AlejandroGonzalezInarritu	1
AmySmart	2	AhmedQureia	3
AlLeiter	2	AlejandroToledo	2
AbdullatifSener	2	AlastairCampbell	3
AhmedChalabi	2	AlexPenelas	2
AndreasVinciguerra	1	AlexSink	2
AlexanderLukashenko	1	AllisonJanney	3
AndresManuelLopezObrador	2	AishwaryaRai	1
AmyYasbeck	3	AndyLau	2
AngeloReyes	1	AmandaPlumer	1
AmelieMauresmo	1	AlbertBrooks	2
AgnesBruckner	2	AlexandreHerchcovitch	1
AndreaDeCruz	1	AliciaKeys	2
AndyRoddick	1	AngelaMascia-Frye	1
AngieMartinez	2	AlejandroGonzalezInarritu	1
AmrMoussa	1	AlfredSant	1
AlexanderPayne	2	AaronTippin	2
AlexandreDespatie	1	AhmedChalabi	1
AlexHolmes	2	AndresManuelLopezObrador	1
AmandaBynes	1	AngelaMerkel	2
AmeliaVega	4	AlexPenelas	3
AlessandroNesta	2	AlexaVega	2
AbdullahAhmadBadawi	2	AngelaBassett	1
AndreBucher	2	2
AlfonsoCuaron	2	1
AbdelAzizAl-Hakim	2	3
AlfredSant	1	3
AnibalIbarra	3	2
AndresPastrana	2	3
AJCook	1	1
AlvaroNoboa	1	1
AndyGarcia	2	1
AndyRooney	3	1
AdisaiBodharamik	2	3
AmberFrey	3	2
AdamScott	2	2
AndyGriffith	1	2
AdrianAnnus	3	3
AndyDick	2	1
AlbertoRuizGallardon	3	2
AlexaVega	2	1
AliKhamenei	2	2
AlexanderDowner	3	1
AhmedAhmed	3	3
AlexCejka	2	2
AndrewBernard	3	2
AmyRedford	2	2
AbdulazizKamilov	1	1
AlbertoAcosta	1	1
AliFallahian	1	2
AleksanderKwasniewski	2	3
AlannaUbach	2	1
AngelinaJolie	2	1
AaronGuiel	1	2
AllySheedy	2	2
AlexSink	3	2
AdrianFernandez	2	2
AlfonsoPortillo	2	1
AlecosMarkides	3	3
AdelAl-Jubeir	3	2
AlfredoMoreno	2	3
AkmalTaher	1	2
AkikoMorigami	3	3
AbelPacheco	2	1
AnjumHussain	1	2
AlainDucasse	2	2
AlisonLohman	3	1
AliMohammedMaher	2	3
AllisonJanney	1	2
AllysonFelix	3	1
AdrienBrody	1	3
AbbasKiarostami	3	1
AlejandroToledo	1	2
AngelaMerkel	2	2
AndrewLuster	1	1
AbdoulayeWade	2	1
AdamAnt	2	2
AkbarHashemiRafsanjani	4	4
AliciaKeys	2	2
AlDavis	3	3
AishwaryaRai	3	1
AmyBrenneman	3	3
AndreaBocelli	3	2
AliciaSilverstone	2	1
AndrewWetzler	1	2
AnitaDeFrantz	2	3
AngelaBassett	1	1
AmandaPlumer	1	2
AmandaBeard	4	1
AlexPenelas	1	1
AlessandraCerna	1	2
AlbertoGonzales	3	1
AdrianaPerezNavarro	3	1
AhmedQureia	1	1
AlanDershowitz	3	1
AliciaWitt	2	2
AndreAgassi	2	2
AndrewFirestone	2	1
AlexKing	1	1
AndyLau	3	2
AaronTippin	3	4
AbdulMajeedShobokshi	2	2
AlbertBrooks	2	1
AlPacino	2	3
AngelLockward	3	1
AlexZanardi	2	1
AliAbbas	3	4
AlexandraPelosi	3	1
AlvaroSilvaCalderon	3	1
AngelaMascia-Frye	2	2
AlexCabrera	3	2
Abdullah	1	1
AdrianNastase	3	1
AlexisDennisoff	2	3
AndyWarhol	1	2
AlastairCampbell	3	1
AndrewFastow	2	1
AlysonHannigan	2	2
AdoorGopalakarishnan	3	3
AgbaniDarego	1	2
AkbarAlBaker	2	3
AmramMitzna	3	1
AaronEckhart	2	1
AdamSandler	2	1
AngieArzola	2	1
AidanQuinn	3	2
AndresDAlessandro	1	1
AhmadMasood	2	2
AlecBaldwin	2	1
AlvaroUribe	4	4
AhmetNecdetSezer	1	3
AlyWagner	2	2
AkhmedZakayev	3	1
AaronSorkin	1	2
AlfredodiStefano	3	1
AndyBenes	1	1
AldoParedes	2	3
AlbertoFujimori	2	3
AbbaEban	2	1
AlanBall	3	2
AbdullahGul	3	2
AdriannaZuzic	1	2
AlimzhanTokhtakhounov	3	3
AlejandroGonzalezInarritu	3	2
AlGore	1	1
AlSharpton	3	3
AbrahamFoxman	3	2
AmandaMarsh	1	2
AngelaLansbury	3	2
AmberTamblyn	1	2
AlanisMorissette	2	2
AlexFerguson	1	1
AlexisBledel	3	3
AdrianaLima	3	2
AlmaPowell	2	1
AbdulRahman	2	1
AlexandreHerchcovitch	3	3
AbidHamidMahmudAl-Tikriti	1	3
AndersEbbeson	2	1
AlexandreDaigle	1	1
AndrewCuomo	1	1
AndreaYates	1	2
AlekWek	2	2
AmySmart	1	3
AlLeiter	2	1
AbdullatifSener	3	2
AhmedChalabi	1	2
AndreasVinciguerra	1	1
AlexanderLukashenko	1	2
AndresManuelLopezObrador	2	3
AmyYasbeck	4	1
AngeloReyes	1	1
AmelieMauresmo	2	2
AgnesBruckner	4	2
AndreaDeCruz	2	1
AndyRoddick	1	4
AngieMartinez	1	1
AmrMoussa	1	2
AlexanderPayne	3	2
AlexandreDespatie	1	2
AlexHolmes	1	2
AmandaBynes	1	1
AmeliaVega	1	4
AlessandroNesta	3	1
AbdullahAhmadBadawi	3	3
AndreBucher	2	AdrianFernandez	1
AlfonsoCuaron	2	AbidHamidMahmudAl-Tikriti	1
AbdelAzizAl-Hakim	2	AlysonHannigan	2
AlfredSant	3	AlexandraPelosi	1
AnibalIbarra	3	AndyDick	2
AndresPastrana	1	AidanQuinn	3
AJCook	3	AlSharpton	3
AlvaroNoboa	2	AhmadMasood	2
AndyGarcia	1	AndreaBocelli	2
AndyRooney	2	AgnesBruckner	4
AdisaiBodharamik	3	AlexandreDaigle	2
AmberFrey	3	AdrianFernandez	1
AdamScott	3	AlbertoAcosta	2
AndyGriffith	2	AlisonLohman	2
AdrianAnnus	2	AaronGuiel	1
AndyDick	2	AndresManuelLopezObrador	2
AlbertoRuizGallardon	3	AngieMartinez	2
AlexaVega	3	AmySmart	1
AliKhamenei	2	AliciaWitt	1
AlexanderDowner	3	AbdelAzizAl-Hakim	1
AhmedAhmed	3	AkbarHashemiRafsanjani	2
AlexCejka	2	AlexisBledel	2
AndrewBernard	5	AlGore	2
AmyRedford	2	AlbertBrooks	1
AbdulazizKamilov	3	AdrianAnnus	3
AlbertoAcosta	2	AlimzhanTokhtakhounov	2
AliFallahian	1	AlexHolmes	1
AleksanderKwasniewski	3	AmramMitzna	2
AlannaUbach	2	AhmadMasood	2
